match_id,team_id,team_name,team_rating,date,player_id,player_name,player_position,player_rating,won_corners,att_sv_low_centre,won_contest,total_tackle,aerial_lost,possession_percentage,accurate_pass,total_pass,total_throws,shot_off_target,total_offside,blocked_scoring_att,ontarget_scoring_att,aerial_won,att_miss_left,total_scoring_att,fk_foul_lost,att_miss_right,good_high_claim,touches,saves,formation_place,fouls,penalty_conceded,att_goal_low_left,att_goal_low_right,att_sv_low_left,goals,att_pen_goal,att_sv_high_centre,att_goal_low_centre,man_of_the_match,goal_assist,att_miss_high,six_yard_block,yellow_card,att_post_left,post_scoring_att,att_miss_high_right,att_sv_high_right,att_sv_low_right,error_lead_to_goal,att_sv_high_left,att_miss_high_left,second_yellow,red_card,att_goal_high_right,att_goal_high_left,att_post_right,clearance_off_line,own_goals,last_man_tackle,att_goal_high_centre,att_pen_target,penalty_save,att_post_high,att_pen_miss,att_pen_post
1190343,96,Stoke,6.94571428571428,03/02/2018,106086,Kurt Zouma,DC,6.94,1,2,9,3,26,42.7,18,23,26,6,6,3,4,3,,13,19,4,,43,,6,1,,,1,,1,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,1,,
1190343,96,Stoke,6.94571428571428,03/02/2018,24148,Erik Pieters,DL,7.44,1,2,9,1,26,42.7,20,33,26,6,6,3,4,2,,13,19,4,,58,,3,2,,,1,,1,,,,,,,,,,1,1,,1,,,,,,,,,1,,,,,,1,,
1190343,96,Stoke,6.94571428571428,03/02/2018,29798,Ryan Shawcross,DC,6.92,1,2,9,1,5,42.7,18,30,26,6,6,3,4,5,,13,19,4,,48,,5,4,,,1,,1,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,1,,
1190343,96,Stoke,6.94571428571428,03/02/2018,112698,Badou Ndiaye,MC,7.18,1,2,1,3,26,42.7,14,17,26,6,6,1,4,1,,3,19,4,,32,,8,1,,,1,,1,,,,,1,,,1,,1,1,,1,,,,,,,,,,,,,,,1,,
1190343,96,Stoke,6.94571428571428,03/02/2018,38772,Geoff Cameron,MC,6.77,1,2,9,4,1,42.7,29,40,26,6,6,3,4,3,,13,19,4,,55,,4,,,,1,,1,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,1,,
1190343,96,Stoke,6.94571428571428,03/02/2018,23444,Joe Allen,MC,6.82,1,2,1,5,4,42.7,27,34,26,6,6,1,4,35,,1,19,4,,53,,7,3,,,1,,1,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,1,,
1190343,96,Stoke,6.94571428571428,03/02/2018,29809,Eric Maxim Choupo-Moting,FWL,7.38,1,2,3,3,3,42.7,16,19,26,6,6,1,4,4,,3,19,4,,42,,11,1,,,1,,1,,,,,,,,1,,1,1,,1,,,,,,,,,,,,,,,1,,
1190343,96,Stoke,6.94571428571428,03/02/2018,3807,Peter Crouch,FW,7.9,1,2,1,1,8,42.7,21,34,26,6,6,3,4,16,,4,19,4,,44,,9,4,,,1,,1,,,,1,,,,,,1,1,,1,,,,,,,,,,,,,,,1,,
1190343,96,Stoke,6.94571428571428,03/02/2018,76304,Xherdan Shaqiri,FWR,7.38,1,2,1,28,2,42.7,23,29,26,6,6,3,4,35,,2,19,4,,46,,10,2,,,1,,1,,,,,,,,1,,1,1,,1,,,,,,,,,,,,,,,1,,
1190343,96,Stoke,6.94571428571428,03/02/2018,260289,Ramadan Sobhi,Sub,0,1,2,9,28,26,42.7,221,328,26,6,6,3,4,35,,13,19,4,,,,0,,,,1,,1,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,1,,
1190343,96,Stoke,6.94571428571428,03/02/2018,8195,Lee Grant,Sub,0,1,2,9,28,26,42.7,221,328,26,6,6,3,4,35,,13,19,4,,,,0,,,,1,,1,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,1,,
1190343,96,Stoke,6.94571428571428,03/02/2018,8327,Charlie Adam,Sub,0,1,2,9,28,26,42.7,221,328,26,6,6,3,4,35,,13,19,4,,,,0,,,,1,,1,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,1,,
1190343,96,Stoke,6.94571428571428,03/02/2018,26013,Mame Biram Diouf,Sub,6.18,1,2,9,1,2,42.7,1,2,26,6,6,3,4,1,,13,19,4,,3,,0,,,,1,,1,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,1,,
1190343,96,Stoke,6.94571428571428,03/02/2018,106486,Konstantinos Stafylidis,Sub,6.03,1,2,9,1,26,42.7,8,10,26,6,6,3,4,35,,13,19,4,,13,,0,,,,1,,1,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,1,,
1190343,96,Stoke,6.94571428571428,03/02/2018,94024,Saido Berahino,Sub,5.99,1,2,9,28,26,42.7,1,1,26,6,6,3,4,35,,13,19,4,,1,,0,1,,,1,,1,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,1,,
