id,home_team,away_team,against,scorer_id,scorer_name,scorer_jersey_number,scoring_minute
1,LEI,WOL,LEI,4901,Doherty,2,29
2,MCI,HUD,MCI,3103,Kongolo,5,84
3,ARS,WHU,ARS,4819,Diop,23,70
4,NEW,CHE,CHE,4521,Yedlin,22,87
5,WAT,TOT,TOT,4715,Doucouré,16,53
