id,club_code,current_club,previous_club,first_name,middle_name,last_name,jersey_name,jersey_number,nationality,position,appearances,substitute_appearances,goals_scored,own_goals,assists_made
3122,HUD,Huddersfield Town,Borussia Dortmund,Jon,Gorenc,Stanković,Stanković,27,Slovenia,Defender,1.0,0.0,1.0,0.0,0.0
3123,HUD,Huddersfield Town,Nürnberg,Abdelhamid,,Sabiri,Sabiri,29,Morocco,Midfielder,1.0,0.0,0.0,0.0,0.0
3124,HUD,Huddersfield Town,,Ryan,,Schofield,Schofield,31,England,Goalkeeper,,,,,
3125,HUD,Huddersfield Town,Ingolstadt,Florent,,Hadergjonaj,Hadergjonaj,33,Switzerland,Defender,4.0,0.0,0.0,0.0,0.0
3126,HUD,Huddersfield Town,Borussia Dortmund,Eric,,Durm,Durm,37,Germany,Defender,1.0,1.0,0.0,0.0,0.0
3201,SOU,Southampton,Crystal Palace,Alex,,McCarthy,McCarthy,1,England,Goalkeeper,4.0,0.0,0.0,0.0,0.0
3202,SOU,Southampton,Sporting CP,Cédric,,Soares,Cédric,2,Portugal,Defender,4.0,0.0,0.0,0.0,1.0
3203,SOU,Southampton,VVV Venlo,Maya,,Yoshida,Yoshida,3,Japan,Defender,,,,,
3204,SOU,Southampton,Borussia Mönchengladbach,Jannik,,Vestergaard,Vestergaard,4,Denmark,Defender,3.0,0.0,0.0,0.0,0.0
3205,SOU,Southampton,Plymouth Argyle,Jack,,Stephens,Stephens,5,England,Defender,2.0,0.0,0.0,0.0,0.0
3206,SOU,Southampton,Lazio,Wesley,,Hoedt,Hoedt,6,Netherlands,Defender,4.0,0.0,0.0,0.0,0.0
3207,SOU,Southampton,West Brom Albion,Shane,,Long,Long,7,Ireland,Forward,3.0,1.0,0.0,0.0,0.0
3208,SOU,Southampton,Rangers,Steven,,Davis,Davis,8,Northern Ireland,Midfielder,,,,,
3209,SOU,Southampton,Liverpool,Danny,,Ings,Ings,9,England,Forward,4.0,1.0,2.0,0.0,0.0
3210,SOU,Southampton,Queens Park Rangers,Charlie,,Austin,Austin,10,England,Forward,4.0,2.0,0.0,0.0,0.0
3211,SOU,Southampton,Basel,Mohamed,,Elyounoussi,Elyounoussi,11,Norway,Forward,3.0,1.0,0.0,0.0,0.0
3213,SOU,Southampton,Chelsea,Oriol,,Romeu,Romeu,14,Spain,Midfielder,4.0,2.0,0.0,0.0,0.0
3214,SOU,Southampton,Plymouth Argyle,Sam,,Gallagher,Gallagher,15,England,Forward,,,,,
3215,SOU,Southampton,,James,,Ward-Prowse,Ward-Prowse,16,England,Midfielder,1.0,0.0,0.0,0.0,0.0
3216,SOU,Southampton,Celtic,Stuart,,Armstrong,Armstrong,17,Scotland,Midfielder,3.0,2.0,0.0,0.0,0.0
3217,SOU,Southampton,Juventus,Mario,,Lemina,Lemina,18,Gabon,Midfielder,4.0,0.0,0.0,0.0,1.0
3219,SOU,Southampton,Napoli,Manolo,,Gabbiadini,Gabbiadini,20,Italy,Forward,2.0,2.0,0.0,0.0,0.0
3220,SOU,Southampton,Chelsea,Ryan,,Bertrand,Bertrand,21,England,Defender,4.0,0.0,1.0,0.0,0.0
3221,SOU,Southampton,Norwich City,Nathan,,Redmond,Redmond,22,England,Midfielder,4.0,0.0,0.0,0.0,0.0
